kepid,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_quarters
9181340,FALSE POSITIVE,2.131225773,1.6390000e-06,-1.6390000e-06,133.2997800,6.580000e-04,-6.580000e-04,5.49320,0.03540,-0.03540,11111111111111111000000000000000
9203154,CANDIDATE,0.839907158,4.9050000e-06,-4.9050000e-06,131.6942600,4.280000e-03,-4.280000e-03,1.01900,0.18700,-0.18700,01111111111111111000000000000000
9205993,FALSE POSITIVE,1.219736039,1.8020000e-06,-1.8020000e-06,132.1241700,2.070000e-03,-2.070000e-03,4.89465,0.00614,-0.00614,00000000000000011000000000000000
9207508,FALSE POSITIVE,2.015152464,9.6000000e-08,-9.6000000e-08,132.1127635,3.930000e-05,-3.930000e-05,8.17997,0.00242,-0.00242,11111111111111111000000000000000
9210828,FALSE POSITIVE,0.828206570,1.1700000e-07,-1.1700000e-07,131.5813130,1.160000e-04,-1.160000e-04,2.70353,0.00619,-0.00619,11111111111111111000000000000000
9221627,CANDIDATE,1.761377800,1.4240000e-04,-1.4240000e-04,132.9890000,1.140000e-01,-1.140000e-01,1.35500,0.18200,-0.18200,00000000000000011000000000000000
9236858,FALSE POSITIVE,2.537081943,1.4100000e-07,-1.4100000e-07,134.0051720,4.540000e-05,-4.540000e-05,4.80903,0.00183,-0.00183,11111111111111111000000000000000
9243795,FALSE POSITIVE,14.443127448,1.6540000e-06,-1.6540000e-06,139.3903174,9.290000e-05,-9.290000e-05,8.33598,0.00744,-0.00744,11111111111111111000000000000000
9266285,FALSE POSITIVE,5.613869080,6.6200000e-07,-6.6200000e-07,132.5729010,1.000000e-04,-1.000000e-04,5.07753,0.00477,-0.00477,11111111111111111000000000000000
10026136,FALSE POSITIVE,9.080194398,5.9800000e-07,-5.9800000e-07,136.8170208,5.070000e-05,-5.070000e-05,8.18777,0.00260,-0.00260,11111101110111011000000000000000
10026457,FALSE POSITIVE,9.934420750,4.4540000e-06,-4.4540000e-06,132.8749890,3.440000e-04,-3.440000e-04,7.82190,0.01990,-0.01990,11111101110111011000000000000000
10031409,FALSE POSITIVE,2.071939672,1.1000000e-07,-1.1000000e-07,132.8368962,4.130000e-05,-4.130000e-05,4.45367,0.00169,-0.00169,11111101110111011000000000000000
10031526,FALSE POSITIVE,8.589364400,2.6910000e-04,-2.6910000e-04,132.0467000,2.530000e-02,-2.530000e-02,6.97500,0.59200,-0.59200,11111101110111011000000000000000
10031808,FALSE POSITIVE,8.589644815,4.1000000e-07,-4.1000000e-07,132.0206787,3.730000e-05,-3.730000e-05,9.49469,0.00201,-0.00201,11111101110111011000000000000000
10053138,CANDIDATE,11.772814600,1.6360000e-04,-1.6360000e-04,138.7858600,9.670000e-03,-9.670000e-03,4.13200,0.33700,-0.33700,11111111111111111000000000000000
10063044,FALSE POSITIVE,1.009671584,8.9000000e-08,-8.9000000e-08,131.5869372,7.260000e-05,-7.260000e-05,4.37759,0.00426,-0.00426,11111111111111111000000000000000
10066755,CANDIDATE,2.465065010,5.7620000e-05,-5.7620000e-05,132.8845000,1.800000e-02,-1.800000e-02,6.21800,0.56800,-0.56800,10011001100110011000000000000000
10070479,CANDIDATE,1.758599866,3.3620000e-06,-3.3620000e-06,131.7968000,1.750000e-03,-1.750000e-03,0.27290,0.07080,-0.07080,11111111111111111000000000000000
11134079,FALSE POSITIVE,1.260575815,1.1700000e-07,-1.1700000e-07,132.0569049,7.700000e-05,-7.700000e-05,2.36064,0.00286,-0.00286,11111111111111111000000000000000
11137061,FALSE POSITIVE,1.889122730,2.5360000e-05,-2.5360000e-05,132.9530000,1.420000e-02,-1.420000e-02,4.21900,0.36300,-0.36300,11111111111111111000000000000000
11144439,FALSE POSITIVE,0.609125246,2.2540000e-06,-2.2540000e-06,132.0828100,3.260000e-03,-3.260000e-03,0.65500,0.21800,-0.21800,00011111111111111000000000000000
7119481,CANDIDATE,14.157371700,2.2730000e-04,-2.2730000e-04,135.5991000,1.320000e-02,-1.320000e-02,3.78600,0.33000,-0.33000,01100111011101110000000000000000
11147276,FALSE POSITIVE,1.566528935,3.0300000e-07,-3.0300000e-07,132.5372550,1.600000e-04,-1.600000e-04,3.25930,0.01070,-0.01070,11111111111111111000000000000000
11154043,FALSE POSITIVE,4.529776320,5.8810000e-05,-5.8810000e-05,136.1237000,1.110000e-02,-1.110000e-02,26.75200,0.82500,-0.82500,11111101110111011000000000000000
11182260,CANDIDATE,1.291964282,1.8260000e-06,-1.8260000e-06,132.6373300,1.110000e-03,-1.110000e-03,1.83780,0.07730,-0.07730,11111110111011101000000000000000
11187972,CANDIDATE,37.464697400,7.1090000e-04,-7.1090000e-04,138.6533000,1.210000e-02,-1.210000e-02,4.95400,0.48200,-0.48200,11111111111111111000000000000000
